trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl,partial_pnl_total
21,2010-03-02 07:45:00,0.903534,long,1.000000,45.714908,False,Standard (NTI+MB+IC),0.902534,10.000000,0.904890,0.906245,0.908052,2010-03-02 09:30:00,0.903629,trailing_stop,0,1.750000,983.495160,0.951272,983.495160,TP0,0.500000,432.814013,TP0,0.165000,223.624757,TP0,0.110550,149.828587,806.267358
22,2010-03-02 09:45:00,0.903434,long,1.000000,43.949113,False,Standard (NTI+MB+IC),0.902434,10.000000,0.904789,0.906144,0.907951,2010-03-02 10:00:00,0.902246,stop_loss,0,0.250000,-1187.910346,-11.879103,-1187.910346,,,,,,,,,,
23,2010-03-02 10:45:00,0.903124,long,1.000000,32.661192,False,Standard (NTI+MB+IC),0.902124,10.000000,0.904479,0.905833,0.907640,2010-03-02 12:30:00,0.903203,trailing_stop,0,1.750000,878.990623,0.788121,878.990623,TP0,0.500000,488.017525,TP0,0.165000,223.523181,TP0,0.110550,149.760531,861.301237
24,2010-03-03 11:30:00,0.907327,long,1.000000,49.745376,False,Standard (NTI+MB+IC),0.906327,10.000000,0.908688,0.910049,0.911864,2010-03-03 14:15:00,0.906268,stop_loss,0,2.750000,-1059.659766,-10.596598,-1059.659766,,,,,,,,,,
25,2010-03-03 14:30:00,0.905520,long,1.000000,18.343329,False,Standard (NTI+MB+IC),0.904520,10.000000,0.906879,0.908237,0.910048,2010-03-03 15:45:00,0.905607,trailing_stop,0,1.250000,86.282955,0.862830,86.282955,,,,,,,,,,
26,2010-03-03 22:45:00,0.902861,short,1.000000,38.541108,False,Standard (NTI+MB+IC),0.903861,10.000000,0.901507,0.900153,0.898347,2010-03-04 05:45:00,0.900963,trailing_stop,0,7.000000,1057.747359,18.985286,1057.747359,TP0,0.500000,380.574303,TP0,0.165000,223.458134,TP0,0.110550,149.716950,753.749387
27,2010-03-04 06:30:00,0.902873,short,1.000000,15.033752,False,Standard (NTI+MB+IC),0.902616,2.569457,0.901519,0.900165,0.898359,2010-03-04 07:30:00,0.902831,trailing_stop,0,1.000000,358.057230,0.426953,358.057230,TP0,0.500000,336.709566,,,,,,,336.709566
28,2010-03-05 08:30:00,0.904902,long,1.000000,40.308958,False,Standard (NTI+MB+IC),0.903902,10.000000,0.906259,0.907617,0.909427,2010-03-26 05:45:00,0.922214,trailing_stop,0,501.250000,1327.663170,173.122143,1327.663170,TP0,0.500000,648.986650,TP0,0.165000,223.963252,TP0,0.110550,150.055379,1023.005280
29,2010-03-26 06:00:00,0.905354,short,1.000000,56.303062,False,Standard (NTI+MB+IC),0.906354,10.000000,0.903996,0.902638,0.900828,2010-03-26 07:00:00,0.906387,stop_loss,0,1.000000,-1032.911751,-10.329118,-1032.911751,,,,,,,,,,
30,2010-03-26 08:15:00,0.906090,short,1.000000,35.149663,False,Standard (NTI+MB+IC),0.907090,10.000000,0.904731,0.903372,0.901559,2010-03-28 20:15:00,0.902695,trailing_stop,0,60.000000,1024.525537,33.947975,1024.525537,TP0,0.500000,344.958090,TP0,0.165000,224.257254,TP0,0.110550,150.252360,719.467704
