trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl
81,2025-04-08 13:30:00,0.598703,short,1.000000,57.326917,False,0.599703,10.000000,0.597805,0.596907,0.595709,2025-04-08 14:15:00,0.597805,tp1_pullback,2,0.750000,1122.567878
82,2025-04-08 14:30:00,0.596886,short,1.000000,62.846144,False,0.597886,10.000000,0.595990,0.595095,0.593901,2025-04-08 15:30:00,0.596850,trailing_stop,2,1.000000,904.123954
83,2025-04-08 15:45:00,0.596096,short,1.000000,57.257467,False,0.597096,10.000000,0.595202,0.594308,0.593116,2025-04-08 18:15:00,0.595202,tp1_pullback,2,2.500000,1117.680340
84,2025-04-08 18:30:00,0.595662,short,1.000000,40.529461,False,0.596662,10.000000,0.594768,0.593875,0.592684,2025-04-08 19:45:00,0.595571,trailing_stop,1,1.250000,492.413452
85,2025-04-08 20:00:00,0.593076,short,1.000000,38.109470,False,0.594076,10.000000,0.592187,0.591297,0.590111,2025-04-08 20:30:00,0.594211,stop_loss,1,0.500000,-122.762500
86,2025-04-08 20:45:00,0.595964,short,1.000000,16.237851,False,0.596964,10.000000,0.595070,0.594177,0.592985,2025-04-08 21:00:00,0.597081,stop_loss,0,0.250000,-1116.703991
87,2025-04-08 21:30:00,0.598808,short,1.000000,16.210407,False,0.599808,10.000000,0.597910,0.597012,0.595814,2025-04-08 22:00:00,0.599827,stop_loss,0,0.500000,-1018.632717
88,2025-04-08 22:15:00,0.598993,short,1.000000,19.340813,False,0.599993,10.000000,0.598095,0.597196,0.595998,2025-04-09 00:00:00,0.595998,take_profit_3,3,1.750000,1647.231643
89,2025-04-09 05:45:00,0.601387,long,1.000000,35.754665,False,0.600387,10.000000,0.602289,0.603191,0.604394,2025-04-09 06:45:00,0.604394,take_profit_3,3,1.000000,1653.813389
90,2025-04-09 07:30:00,0.599067,long,1.000000,18.470748,False,0.598467,5.990991,0.599965,0.600864,0.602062,2025-04-09 08:00:00,0.599965,tp1_pullback,2,0.500000,1123.249766
91,2025-04-09 13:15:00,0.609570,long,1.000000,29.783412,False,0.608570,10.000000,0.610484,0.611399,0.612618,2025-04-09 13:30:00,0.612618,take_profit_3,3,0.250000,1676.317108
92,2025-04-09 13:45:00,0.613694,long,1.000000,42.015511,False,0.612694,10.000000,0.614614,0.615535,0.616762,2025-04-09 14:00:00,0.612548,stop_loss,1,0.250000,-112.715588
93,2025-04-09 14:15:00,0.615230,long,1.000000,51.796625,False,0.614230,10.000000,0.616153,0.617076,0.618306,2025-04-09 14:45:00,0.616153,tp1_pullback,2,0.500000,1153.556897
94,2025-04-09 15:00:00,0.615503,long,1.000000,58.439847,False,0.614503,10.000000,0.616427,0.617350,0.618581,2025-04-09 15:45:00,0.616427,tp1_pullback,2,0.750000,1154.068949
