trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
58,2016-08-02 08:30:00,0.761641,long,1.000000,71.532697,False,Standard (NTI+MB+IC),0.761141,5.000000,0.762327,0.763012,0.763926,2016-08-02 08:45:00,0.762327,take_profit_1,1,0.250000,554.648089,PPT,0.700000,349.004906,TP1,0.300000,205.643184,554.648089,6.854773,554.648089,,,
59,2016-08-02 09:00:00,0.762180,long,1.000000,76.594795,False,Standard (NTI+MB+IC),0.761680,5.000000,0.762866,0.763552,0.764466,2016-08-02 09:45:00,0.762866,take_profit_1,1,0.750000,318.080921,PPT,0.700000,112.292434,TP1,0.300000,205.788487,318.080921,6.859616,318.080921,,,
60,2016-08-02 10:00:00,0.762346,long,1.000000,83.238908,False,Standard (NTI+MB+IC),0.761846,5.000000,0.763032,0.763718,0.764633,2016-08-02 10:30:00,0.761703,stop_loss,1,0.500000,-199.975333,TP1,0.333333,228.703789,,,,228.703789,-6.430187,-199.975333,,,
61,2016-08-02 10:45:00,0.760659,long,1.000000,62.037035,False,Standard (NTI+MB+IC),0.760159,5.000000,0.761344,0.762028,0.762941,2016-08-02 11:15:00,0.761344,take_profit_1,1,0.500000,458.111134,PPT,0.700000,252.733217,TP1,0.300000,205.377917,458.111134,6.845931,458.111134,,,
62,2016-08-02 11:30:00,0.761253,long,1.000000,46.700734,False,Standard (NTI+MB+IC),0.760753,5.000000,0.761938,0.762623,0.763537,2016-08-02 12:00:00,0.760628,stop_loss,0,0.500000,-624.681073,,,,,,,,-6.246811,-624.681073,,,
63,2016-08-02 12:15:00,0.761123,long,1.000000,17.491523,False,Standard (NTI+MB+IC),0.760623,5.000000,0.761808,0.762493,0.763406,2016-08-02 12:45:00,0.760446,stop_loss,0,0.500000,-677.057832,,,,,,,,-6.770578,-677.057832,,,
64,2016-08-02 13:00:00,0.759914,long,1.000000,15.385250,False,Standard (NTI+MB+IC),0.759414,5.000000,0.760598,0.761282,0.762194,2016-08-02 13:15:00,0.760598,take_profit_1,1,0.250000,664.254958,PPT,0.700000,459.078131,TP1,0.300000,205.176827,664.254958,6.839228,664.254958,,,
65,2016-08-02 14:30:00,0.761344,long,1.000000,20.930801,False,Standard (NTI+MB+IC),0.760844,5.000000,0.762029,0.762715,0.763628,2016-08-02 14:45:00,0.760756,stop_loss,0,0.250000,-588.430039,,,,,,,,-5.884300,-588.430039,,,
66,2016-08-03 03:15:00,0.757682,short,1.000000,48.790911,False,Standard (NTI+MB+IC),0.758182,5.000000,0.757000,0.756318,0.755409,2016-08-03 03:30:00,0.758345,stop_loss,0,0.250000,-663.154102,,,,,,,,-6.631541,-663.154102,,,
67,2016-08-03 03:45:00,0.758978,short,1.000000,48.716279,False,Standard (NTI+MB+IC),0.759478,5.000000,0.758295,0.757612,0.756701,2016-08-03 04:15:00,0.758295,take_profit_1,1,0.500000,455.637389,PPT,0.700000,250.713285,TP1,0.300000,204.924104,455.637389,6.830803,455.637389,,,
68,2016-08-03 04:30:00,0.758847,short,1.000000,37.508909,False,Standard (NTI+MB+IC),0.759347,5.000000,0.758164,0.757481,0.756570,2016-08-03 04:45:00,0.759514,stop_loss,0,0.250000,-667.258909,,,,,,,,-6.672589,-667.258909,,,
69,2016-08-03 21:00:00,0.761077,long,1.000000,50.402990,False,Standard (NTI+MB+IC),0.760577,5.000000,0.761762,0.762447,0.763360,2016-08-03 21:15:00,0.761762,take_profit_1,1,0.250000,375.423743,PPT,0.700000,169.932889,TP1,0.300000,205.490854,375.423743,6.849695,375.423743,,,
70,2016-08-03 21:30:00,0.762295,long,1.000000,49.991841,False,Standard (NTI+MB+IC),0.761795,5.000000,0.762981,0.763667,0.764581,2016-08-03 22:00:00,0.761694,stop_loss,0,0.500000,-600.964747,,,,,,,,-6.009647,-600.964747,,,
71,2016-08-03 22:15:00,0.761578,long,1.000000,44.375659,False,Standard (NTI+MB+IC),0.761078,5.000000,0.762263,0.762948,0.763862,2016-08-03 23:45:00,0.760895,stop_loss,0,1.500000,-682.977207,,,,,,,,-6.829772,-682.977207,,,
72,2016-08-04 00:00:00,0.760890,long,1.000000,11.103359,False,Standard (NTI+MB+IC),0.760390,5.000000,0.761574,0.762259,0.763172,2016-08-04 02:00:00,0.760232,stop_loss,0,2.000000,-1.058915,PPT,0.700000,196.229417,,,,196.229417,-6.576278,-1.058915,,,
73,2016-08-04 06:00:00,0.761867,long,1.000000,39.645565,False,Standard (NTI+MB+IC),0.761367,5.000000,0.762553,0.763239,0.764153,2016-08-04 06:45:00,0.761287,stop_loss,0,0.750000,-59.950628,PPT,0.700000,113.983707,,,,113.983707,-5.797811,-59.950628,,,
74,2016-08-04 07:00:00,0.761972,long,1.000000,39.283489,False,Standard (NTI+MB+IC),0.761472,5.000000,0.762657,0.763343,0.764258,2016-08-04 07:15:00,0.762657,take_profit_1,1,0.250000,834.616043,PPT,0.700000,628.883712,TP1,0.300000,205.732331,834.616043,6.857744,834.616043,,,
