iteration,total_return,total_trades,win_rate,profit_factor,sharpe_ratio,sortino_ratio,max_drawdown,avg_trade,avg_win,avg_loss,best_trade,worst_trade,recovery_factor,win_loss_ratio,expectancy,sqn,trades_per_day,start_date,end_date,timestamp,config,currency
78,-1.617528,206,39.805825,0.873078,-1.404912,-2.202546,2.324806,-78.520792,1356.918975,-1027.763218,3008.794838,-1199.833328,0.695769,1.320264,-78.520792,-0.859045,1.791304,2023-08-15 01:00:00,2023-12-08 09:30:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
79,-4.231408,270,37.037037,0.773762,-3.033952,-4.561086,6.116235,-156.718821,1447.194073,-1100.196994,3664.431163,-2136.869694,0.691832,1.315395,-156.718821,-1.863897,1.849315,2023-01-04 17:15:00,2023-05-31 15:00:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
80,-1.299358,222,40.090090,0.907423,-0.902481,-1.473836,2.497461,-58.529661,1431.016725,-1055.293784,3313.391886,-1199.661605,0.520272,1.356036,-58.529661,-0.625620,1.881356,2020-08-20 03:30:00,2020-12-16 06:15:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
81,-6.582271,321,38.006231,0.695501,-4.056982,-5.602396,6.967981,-205.055175,1232.333183,-1086.268138,2985.705205,-4255.131299,0.944645,1.134465,-205.055175,-2.916445,2.791304,2022-10-03 00:00:00,2023-01-26 07:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
82,-4.406939,281,37.010676,0.766373,-2.980237,-4.970799,5.076957,-156.830585,1390.019498,-1065.714250,10928.407213,-1194.311698,0.868028,1.304308,-156.830585,-1.842812,2.381356,2024-11-05 03:15:00,2025-03-04 01:30:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
83,-2.198705,154,35.064935,0.793517,-1.949682,-2.696656,2.881039,-142.773080,1564.751454,-1064.836328,3088.218384,-1197.180154,0.763164,1.469476,-142.773080,-1.292185,1.316239,2019-07-18 14:30:00,2019-11-12 22:15:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
84,-6.079636,228,32.894737,0.624884,-5.172332,-6.882868,6.307487,-266.650702,1350.363802,-1059.304870,3140.033314,-1740.737000,0.963876,1.274764,-266.650702,-3.168439,1.932203,2018-11-27 20:30:00,2019-03-26 17:15:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
85,-1.972581,242,35.123967,0.878762,-1.410916,-2.707769,2.926668,-81.511621,1682.092515,-1036.329147,3229.234484,-1197.298234,0.674002,1.623126,-81.511621,-0.883490,2.068376,2018-07-27 08:45:00,2018-11-21 16:30:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
86,-6.563610,317,37.854890,0.691683,-3.948967,-5.426883,6.818306,-207.053949,1227.072550,-1080.633542,2985.802747,-4275.932393,0.962645,1.135512,-207.053949,-2.934851,2.709402,2022-10-05 08:30:00,2023-01-30 17:15:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
87,-3.386752,275,38.909091,0.815113,-2.314201,-3.162201,4.389032,-123.154633,1395.444223,-1090.357476,3659.548358,-1991.770112,0.771640,1.279804,-123.154633,-1.494118,1.762821,2023-01-30 19:15:00,2023-07-06 04:00:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
