trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
32,2021-03-15 03:30:00,0.775325,short,1.000000,18.549573,False,Standard (NTI+MB+IC),0.775255,0.703538,0.774162,0.772999,0.771448,2021-03-15 03:45:00,0.775398,stop_loss,0,0.250000,-73.204373,-0.732044,-73.204373,,,,,,,,,,
33,2021-03-15 04:00:00,0.775465,short,1.000000,20.197328,False,Standard (NTI+MB+IC),0.775221,2.439436,0.774301,0.773138,0.771587,2021-03-15 04:15:00,0.775296,stop_loss,0,0.250000,168.729155,1.687292,168.729155,,,,,,,,,,
34,2021-03-15 04:30:00,0.775170,short,1.000000,41.952751,False,Standard (NTI+MB+IC),0.775218,0.478003,0.774007,0.772844,0.771294,2021-03-15 05:00:00,0.775072,trailing_stop,0,0.500000,213.790866,0.976769,213.790866,TP0,0.500000,164.952434,,,,164.952434,,,
35,2021-03-15 08:00:00,0.773011,short,1.000000,48.013431,False,Standard (NTI+MB+IC),0.774011,10.000000,0.771852,0.770692,0.769146,2021-03-15 09:45:00,0.772987,trailing_stop,0,1.750000,24.018708,0.240187,24.018708,,,,,,,,,,
36,2021-03-15 10:45:00,0.772822,short,1.000000,33.632460,False,Standard (NTI+MB+IC),0.773822,10.000000,0.771663,0.770504,0.768958,2021-03-15 11:00:00,0.773962,stop_loss,0,0.250000,-1139.855611,-11.398556,-1139.855611,,,,,,,,,,
37,2021-03-16 02:30:00,0.772679,short,1.000000,36.041903,False,Standard (NTI+MB+IC),0.773679,10.000000,0.771520,0.770361,0.768816,2021-03-16 05:15:00,0.772618,trailing_stop,0,2.750000,627.774001,0.615572,627.774001,TP0,0.500000,294.589874,TP0,0.165000,191.238097,613.957496,TP0,0.110550,128.129525
38,2021-03-16 05:30:00,0.773435,short,1.000000,20.140457,False,Standard (NTI+MB+IC),0.774402,9.672526,0.772274,0.771114,0.769567,2021-03-16 07:00:00,0.774509,stop_loss,0,1.500000,-1074.736857,-10.747369,-1074.736857,,,,,,,,,,
39,2021-03-16 07:15:00,0.774584,short,1.000000,44.355285,False,Standard (NTI+MB+IC),0.774248,3.351223,0.773422,0.772260,0.770711,2021-03-16 07:30:00,0.774272,stop_loss,0,0.250000,312.014948,3.120149,312.014948,,,,,,,,,,
40,2021-03-16 07:45:00,0.774241,long,1.000000,46.929990,False,Standard (NTI+MB+IC),0.773513,7.275304,0.775402,0.776564,0.778112,2021-03-16 08:45:00,0.774332,trailing_stop,0,1.000000,436.613948,0.909193,436.613948,TP0,0.500000,214.531343,TP0,0.165000,191.624632,406.155975,,,
41,2021-03-16 20:30:00,0.772896,short,1.000000,45.140441,False,Standard (NTI+MB+IC),0.773896,10.000000,0.771736,0.770577,0.769031,2021-03-17 04:15:00,0.772859,trailing_stop,0,7.750000,276.143535,0.366830,276.143535,TP0,0.500000,257.802035,,,,257.802035,,,
42,2021-03-17 10:15:00,0.770993,short,1.000000,34.999609,False,Standard (NTI+MB+IC),0.771993,10.000000,0.769836,0.768680,0.767138,2021-03-17 13:00:00,0.770907,trailing_stop,0,2.750000,429.220226,0.858865,429.220226,TP0,0.500000,386.276987,,,,386.276987,,,
43,2021-03-17 13:15:00,0.776068,short,1.000000,37.289647,False,Standard (NTI+MB+IC),0.772540,35.284604,0.774904,0.773740,0.772188,2021-03-17 13:30:00,0.772728,stop_loss,0,0.250000,3340.395705,33.403957,3340.395705,,,,,,,,,,
44,2021-03-17 13:45:00,0.779343,long,1.000000,49.205973,False,Standard (NTI+MB+IC),0.778343,10.000000,0.780513,0.781682,0.783240,2021-03-18 02:45:00,0.782010,trailing_stop,0,13.000000,1017.761373,26.661101,1017.761373,TP0,0.500000,433.253671,TP0,0.165000,192.887514,755.375820,TP0,0.110550,129.234635
45,2021-03-18 03:00:00,0.781396,long,1.000000,17.573440,False,Standard (NTI+MB+IC),0.780396,10.000000,0.782568,0.783740,0.785303,2021-03-18 03:30:00,0.781451,trailing_stop,0,0.500000,289.404583,0.548706,289.404583,TP0,0.500000,261.969277,,,,261.969277,,,
46,2021-03-18 04:15:00,0.780819,long,1.000000,12.298707,False,Standard (NTI+MB+IC),0.780329,4.892340,0.781990,0.783161,0.784723,2021-03-18 05:00:00,0.780904,trailing_stop,0,0.750000,398.495443,0.854934,398.495443,TP0,0.500000,355.748765,,,,355.748765,,,
