trade_id,entry_time,entry_price,direction,initial_size,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,tp1_distance_pips,tp2_distance_pips,tp3_distance_pips,exit_time,final_exit_price,exit_reason,trade_duration_hours,tp_hits,total_exited,total_exited_millions,position_integrity_ok,partial_pnl_total,final_pnl,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_price,partial_exit_1_pips,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_price,partial_exit_2_pips,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_price,partial_exit_3_pips,partial_exit_3_pnl
71,2013-09-11 01:30:00,0.928511,short,1000000.000000,1.000000,36.035488,False,Standard (NTI+MB+IC),0.929011,5.000000,0.927675,0.926839,0.925725,8.356595,16.713191,27.855318,2013-09-11 02:00:00,0.929061,stop_loss,0.500000,0,1000000.000000,1.000000,True,0.000000,-550.595519,-550.595519,stop_loss,1.000000,0.929061,-5.505955,-550.595519,,,,,,,,,,
72,2013-09-11 02:30:00,0.929036,short,1000000.000000,1.000000,26.688484,False,Standard (NTI+MB+IC),0.929536,5.000000,0.928200,0.927364,0.926249,8.361327,16.722653,27.871089,2013-09-11 04:00:00,0.929075,trailing_stop,1.500000,1,1000000.000000,1.000000,True,221.011806,213.339282,213.339282,PARTIAL,0.700000,0.928840,1.962956,137.406901,TP1,0.099990,0.928200,8.361327,83.604905,trailing_stop,0.200010,0.929075,-0.383607,-7.672524
73,2013-09-11 14:30:00,0.933370,long,1000000.000000,1.000000,47.583792,False,Standard (NTI+MB+IC),0.932870,5.000000,0.934210,0.935050,0.936170,8.400327,16.800654,28.001090,2013-09-11 15:00:00,0.932728,stop_loss,0.500000,0,1000000.000000,1.000000,True,0.000000,-642.008689,-642.008689,stop_loss,1.000000,0.932728,-6.420087,-642.008689,,,,,,,,,,
74,2013-09-11 15:15:00,0.932368,long,1000000.000000,1.000000,42.511836,False,Standard (NTI+MB+IC),0.931868,5.000000,0.933207,0.934046,0.935165,8.391310,16.782621,27.971035,2013-09-11 17:45:00,0.932416,trailing_stop,2.500000,1,1000000.000000,1.000000,True,512.432386,522.057254,522.057254,PARTIAL,0.700000,0.932980,6.121824,428.527674,TP1,0.099990,0.933207,8.391310,83.904712,trailing_stop,0.200010,0.932416,0.481219,9.624868
75,2013-09-11 21:30:00,0.927230,long,1000000.000000,1.000000,21.033119,False,Standard (NTI+MB+IC),0.931624,43.937187,0.928065,0.928899,0.930012,8.345072,16.690144,27.816907,2013-09-11 21:45:00,0.931539,stop_loss,0.250000,0,1000000.000000,1.000000,True,0.000000,4309.004339,4309.004339,stop_loss,1.000000,0.931539,43.090043,4309.004339,,,,,,,,,,
76,2013-09-11 22:15:00,0.926280,short,1000000.000000,1.000000,50.327826,False,Standard (NTI+MB+IC),0.926780,5.000000,0.925446,0.924613,0.923501,8.336520,16.673040,27.788400,2013-09-12 02:45:00,0.923501,take_profit_3,4.500000,3,1000000.000000,1.000000,True,857.002487,857.002487,857.002487,PARTIAL,0.700000,0.925810,4.700128,329.008985,TP1,0.099990,0.925446,8.336520,83.356865,TP2,0.100005,0.924613,16.673040,166.738739
77,2013-09-12 03:00:00,0.924318,short,1000000.000000,1.000000,64.101771,False,Standard (NTI+MB+IC),0.924818,5.000000,0.923486,0.922654,0.921545,8.318859,16.637718,27.729530,2013-09-12 03:30:00,0.925009,stop_loss,0.500000,0,1000000.000000,1.000000,True,0.000000,-690.902648,-690.902648,stop_loss,1.000000,0.925009,-6.909026,-690.902648,,,,,,,,,,
78,2013-09-12 03:45:00,0.924949,short,1000000.000000,1.000000,56.137847,False,Standard (NTI+MB+IC),0.925449,5.000000,0.924116,0.923284,0.922174,8.324538,16.649076,27.748461,2013-09-12 04:30:00,0.924968,trailing_stop,0.750000,0,1000000.000000,1.000000,True,223.083720,217.382047,217.382047,PARTIAL,0.700000,0.924630,3.186910,223.083720,trailing_stop,0.300000,0.924968,-0.190056,-5.701672,,,,,
79,2013-09-12 04:45:00,0.924737,short,1000000.000000,1.000000,37.478098,False,Standard (NTI+MB+IC),0.925237,5.000000,0.923905,0.923072,0.921963,8.322632,16.645265,27.742108,2013-09-12 05:30:00,0.923905,tp1_pullback,0.750000,2,1000000.000000,1.000000,True,555.528602,638.759087,638.759087,PARTIAL,0.700000,0.924300,4.369280,305.849632,TP1,0.099990,0.923905,8.322632,83.218001,TP2,0.100005,0.923072,16.645265,166.460970
80,2013-09-12 05:45:00,0.923616,short,1000000.000000,1.000000,41.467476,False,Standard (NTI+MB+IC),0.924116,5.000000,0.922785,0.921954,0.920846,8.312547,16.625094,27.708490,2013-09-12 06:00:00,0.924120,stop_loss,0.250000,0,1000000.000000,1.000000,True,0.000000,-503.235492,-503.235492,stop_loss,1.000000,0.924120,-5.032355,-503.235492,,,,,,,,,,
