trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
279,2011-07-04 01:15:00,1.071383,short,1.000000,35.550177,False,Standard (NTI+MB+IC),1.071883,5.000000,1.070419,1.069454,1.068169,2011-07-04 01:45:00,1.072064,stop_loss,0,0.500000,-681.234398,-6.812344,-681.234398,,,,,,,,,,
280,2011-07-04 08:15:00,1.072452,short,1.000000,30.586313,False,Standard (NTI+MB+IC),1.072952,5.000000,1.071487,1.070522,1.069235,2011-07-04 08:45:00,1.073041,stop_loss,0,0.500000,-588.510885,-5.885109,-588.510885,,,,,,,,,,
281,2011-07-04 22:00:00,1.068856,short,1.000000,46.383576,False,Standard (NTI+MB+IC),1.069356,5.000000,1.067894,1.066932,1.065649,2011-07-04 22:15:00,1.069442,stop_loss,0,0.250000,-585.838966,-5.858390,-585.838966,,,,,,,,,,
282,2011-07-04 22:30:00,1.069183,short,1.000000,44.401529,False,Standard (NTI+MB+IC),1.069683,5.000000,1.068221,1.067259,1.065976,2011-07-04 23:00:00,1.069731,stop_loss,0,0.500000,-547.646499,-5.476465,-547.646499,,,,,,,,,,
283,2011-07-04 23:15:00,1.070062,short,1.000000,39.504144,False,Standard (NTI+MB+IC),1.070562,5.000000,1.069098,1.068135,1.066851,2011-07-05 00:30:00,1.069098,take_profit_1,1,1.250000,401.973352,9.630554,401.973352,PPT,0.700000,113.056745,TP1,0.300000,288.916608,401.973352,,,
284,2011-07-05 00:45:00,1.067060,short,1.000000,36.062425,False,Standard (NTI+MB+IC),1.067560,5.000000,1.066100,1.065140,1.063859,2011-07-05 01:15:00,1.067578,stop_loss,0,0.500000,-517.408874,-5.174089,-517.408874,,,,,,,,,,
285,2011-07-05 01:30:00,1.067962,short,1.000000,38.427951,False,Standard (NTI+MB+IC),1.068462,5.000000,1.067001,1.066040,1.064758,2011-07-05 02:00:00,1.067001,take_profit_1,1,0.500000,751.709358,9.611657,751.709358,PPT,0.700000,463.359634,TP1,0.300000,288.349724,751.709358,,,
286,2011-07-05 02:15:00,1.068176,short,1.000000,34.692796,False,Standard (NTI+MB+IC),1.068676,5.000000,1.067215,1.066254,1.064972,2011-07-05 03:30:00,1.068850,stop_loss,0,1.250000,-78.719697,-6.735790,-78.719697,PPT,0.700000,123.354007,,,,123.354007,,,
287,2011-07-05 03:45:00,1.069576,short,1.000000,13.116030,False,Standard (NTI+MB+IC),1.070076,5.000000,1.068613,1.067650,1.066367,2011-07-05 04:45:00,1.070110,stop_loss,0,1.000000,-37.436239,-5.345068,-37.436239,PPT,0.700000,122.915801,,,,122.915801,,,
288,2011-07-05 23:45:00,1.072944,long,1.000000,52.356200,False,Standard (NTI+MB+IC),1.072444,5.000000,1.073910,1.074875,1.076163,2011-07-06 01:00:00,1.072336,stop_loss,0,1.250000,-3.223609,-6.082848,-3.223609,PPT,0.700000,179.261835,,,,179.261835,,,
289,2011-07-06 03:15:00,1.070139,long,1.000000,18.903021,False,Standard (NTI+MB+IC),1.070294,1.543738,1.071102,1.072065,1.073350,2011-07-06 03:30:00,1.070238,stop_loss,0,0.250000,98.812135,0.988121,98.812135,,,,,,,,,,
290,2011-07-06 03:45:00,1.069814,long,1.000000,22.760974,False,Standard (NTI+MB+IC),1.070313,4.986747,1.070777,1.071739,1.073023,2011-07-06 04:00:00,1.070235,stop_loss,0,0.250000,421.216716,4.212167,421.216716,,,,,,,,,,
291,2011-07-06 04:30:00,1.069690,short,1.000000,46.097053,False,Standard (NTI+MB+IC),1.070190,5.000000,1.068728,1.067765,1.066481,2011-07-06 05:00:00,1.068728,take_profit_1,1,0.500000,702.024338,9.627213,702.024338,PPT,0.700000,413.207958,TP1,0.300000,288.816380,702.024338,,,
292,2011-07-06 05:15:00,1.068988,short,1.000000,45.805240,False,Standard (NTI+MB+IC),1.069488,5.000000,1.068026,1.067064,1.065781,2011-07-06 06:00:00,1.069545,stop_loss,0,0.750000,-556.471929,-5.564719,-556.471929,,,,,,,,,,
293,2011-07-06 06:30:00,1.067559,short,1.000000,39.428399,False,Standard (NTI+MB+IC),1.068059,5.000000,1.066598,1.065637,1.064356,2011-07-06 06:45:00,1.066598,take_profit_1,1,0.250000,1099.399557,9.608029,1099.399557,PPT,0.700000,811.158682,TP1,0.300000,288.240875,1099.399557,,,
294,2011-07-06 07:00:00,1.065654,short,1.000000,45.796002,False,Standard (NTI+MB+IC),1.066154,5.000000,1.064694,1.063735,1.062457,2011-07-06 07:15:00,1.066242,stop_loss,0,0.250000,-588.845822,-5.888458,-588.845822,,,,,,,,,,
295,2011-07-06 07:30:00,1.066667,short,1.000000,50.205293,False,Standard (NTI+MB+IC),1.067167,5.000000,1.065707,1.064747,1.063467,2011-07-06 07:45:00,1.065707,take_profit_1,1,0.250000,544.685106,9.600000,544.685106,PPT,0.700000,256.685099,TP1,0.300000,288.000007,544.685106,,,
296,2011-07-06 08:00:00,1.066766,short,1.000000,53.598853,False,Standard (NTI+MB+IC),1.067266,5.000000,1.065805,1.064845,1.063565,2011-07-06 08:30:00,1.067312,stop_loss,0,0.500000,-546.326209,-5.463262,-546.326209,,,,,,,,,,
297,2011-07-06 08:45:00,1.068563,short,1.000000,22.498089,False,Standard (NTI+MB+IC),1.069063,5.000000,1.067601,1.066639,1.065357,2011-07-06 10:00:00,1.067601,take_profit_1,1,1.250000,472.518931,9.617066,472.518931,PPT,0.700000,184.006957,TP1,0.300000,288.511974,472.518931,,,
298,2011-07-06 10:15:00,1.067994,short,1.000000,30.867341,False,Standard (NTI+MB+IC),1.068494,5.000000,1.067033,1.066072,1.064790,2011-07-06 11:00:00,1.068500,stop_loss,0,0.750000,-505.887294,-5.058873,-505.887294,,,,,,,,,,
299,2011-07-06 21:30:00,1.073706,long,1.000000,25.073687,False,Standard (NTI+MB+IC),1.073206,5.000000,1.074672,1.075638,1.076927,2011-07-06 22:15:00,1.074672,take_profit_1,1,0.750000,425.912969,9.663351,425.912969,PPT,0.700000,136.012431,TP1,0.300000,289.900538,425.912969,,,
300,2011-07-06 22:30:00,1.075409,long,1.000000,48.164520,False,Standard (NTI+MB+IC),1.074909,5.000000,1.076377,1.077345,1.078636,2011-07-06 23:15:00,1.074828,stop_loss,0,0.750000,-581.769857,-5.817699,-581.769857,,,,,,,,,,
301,2011-07-06 23:30:00,1.074328,long,1.000000,57.996361,False,Standard (NTI+MB+IC),1.073828,5.000000,1.075295,1.076262,1.077551,2011-07-07 00:30:00,1.073783,stop_loss,0,1.000000,-544.774047,-5.447740,-544.774047,,,,,,,,,,
302,2011-07-07 00:45:00,1.073719,long,1.000000,43.113813,False,Standard (NTI+MB+IC),1.073219,5.000000,1.074685,1.075651,1.076940,2011-07-07 01:45:00,1.073075,stop_loss,0,1.000000,143.830652,-6.438522,143.830652,PPT,0.700000,336.986311,,,,336.986311,,,
303,2011-07-07 02:00:00,1.073319,long,1.000000,13.385920,False,Standard (NTI+MB+IC),1.072819,5.000000,1.074285,1.075251,1.076539,2011-07-07 02:30:00,1.074285,take_profit_1,1,0.500000,766.588122,9.659870,766.588122,PPT,0.700000,476.792028,TP1,0.300000,289.796095,766.588122,,,
304,2011-07-07 02:45:00,1.074815,long,1.000000,25.311810,False,Standard (NTI+MB+IC),1.074315,5.000000,1.075782,1.076750,1.078040,2011-07-07 03:00:00,1.074240,stop_loss,0,0.250000,-575.546579,-5.755466,-575.546579,,,,,,,,,,
305,2011-07-07 03:30:00,1.072507,long,1.000000,13.006001,False,Standard (NTI+MB+IC),1.072007,5.000000,1.073472,1.074438,1.075725,2011-07-07 04:00:00,1.073472,take_profit_1,1,0.500000,774.684074,9.652563,774.684074,PPT,0.700000,485.107186,TP1,0.300000,289.576887,774.684074,,,
