trade_id,entry_time,entry_price,direction,initial_size,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,tp1_distance_pips,tp2_distance_pips,tp3_distance_pips,exit_time,final_exit_price,exit_reason,trade_duration_hours,tp_hits,total_exited,total_exited_millions,position_integrity_ok,partial_pnl_total,final_pnl,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_price,partial_exit_1_pips,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_price,partial_exit_2_pips,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_price,partial_exit_3_pips,partial_exit_3_pnl
60,2016-09-15 13:00:00,0.749898,long,1000000.000000,1.000000,42.809601,False,Standard (NTI+MB+IC),0.748898,10.000000,0.751023,0.752148,0.753648,11.248473,22.496946,37.494911,2016-09-15 15:15:00,0.751023,tp1_pullback,2.250000,2,1000000.000000,1.000000,True,1053.316462,1240.800390,1240.800390,PARTIAL,0.500000,0.750880,9.817856,490.892801,TP1,0.166650,0.751023,11.248473,187.455806,TP2,0.166675,0.752148,22.496946,374.967855
61,2016-09-15 15:30:00,0.751569,long,1000000.000000,1.000000,51.145720,False,Standard (NTI+MB+IC),0.750569,10.000000,0.752697,0.753824,0.755327,11.273540,22.547079,37.578466,2016-09-15 20:30:00,0.750558,stop_loss,5.000000,0,1000000.000000,1.000000,True,0.000000,-1011.721724,-1011.721724,stop_loss,1.000000,0.750558,-10.117217,-1011.721724,,,,,,,,,,
62,2016-09-15 22:45:00,0.752512,long,1000000.000000,1.000000,31.695558,False,Standard (NTI+MB+IC),0.751512,10.000000,0.753640,0.754769,0.756274,11.287676,22.575351,37.625586,2016-09-15 23:45:00,0.751377,stop_loss,1.000000,0,1000000.000000,1.000000,True,0.000000,-1134.377811,-1134.377811,stop_loss,1.000000,0.751377,-11.343778,-1134.377811,,,,,,,,,,
63,2016-09-18 19:45:00,0.750122,long,1000000.000000,1.000000,35.151458,False,Standard (NTI+MB+IC),0.749122,10.000000,0.751247,0.752372,0.753872,11.251827,22.503655,37.506091,2016-09-18 22:30:00,0.753872,take_profit_3,2.750000,3,1000000.000000,1.000000,True,1496.809258,1496.809258,1496.809258,PARTIAL,0.500000,0.750740,6.181702,309.085106,TP1,0.166650,0.751247,11.251827,187.511704,TP2,0.166675,0.752372,22.503655,375.079668
64,2016-09-18 22:45:00,0.753476,long,1000000.000000,1.000000,74.658727,False,Standard (NTI+MB+IC),0.752476,10.000000,0.754606,0.755736,0.757243,11.302137,22.604274,37.673790,2016-09-19 02:45:00,0.753496,trailing_stop,4.000000,0,1000000.000000,1.000000,True,497.101819,507.192592,507.192592,PARTIAL,0.500000,0.754470,9.942036,497.101819,trailing_stop,0.500000,0.753496,0.201815,10.090772,,,,,
65,2016-09-19 03:00:00,0.753371,long,1000000.000000,1.000000,45.320779,False,Standard (NTI+MB+IC),0.752371,10.000000,0.754501,0.755631,0.757138,11.300565,22.601130,37.668550,2016-09-19 10:30:00,0.757138,take_profit_3,7.500000,3,1000000.000000,1.000000,True,1547.365685,1547.365685,1547.365685,PARTIAL,0.500000,0.754080,7.089937,354.496868,TP1,0.166650,0.754501,11.300565,188.323917,TP2,0.166675,0.755631,22.601130,376.704337
66,2016-09-19 10:45:00,0.755955,long,1000000.000000,1.000000,38.477506,False,Standard (NTI+MB+IC),0.754955,10.000000,0.757089,0.758223,0.759735,11.339332,22.678665,37.797774,2016-09-19 13:15:00,0.754930,stop_loss,2.500000,0,1000000.000000,1.000000,True,0.000000,-1025.021223,-1025.021223,stop_loss,1.000000,0.754930,-10.250212,-1025.021223,,,,,,,,,,
67,2016-09-19 14:00:00,0.754757,long,1000000.000000,1.000000,16.712228,False,Standard (NTI+MB+IC),0.754141,6.155145,0.755889,0.757021,0.758530,11.321350,22.642700,37.737834,2016-09-19 15:15:00,0.753947,stop_loss,1.250000,0,1000000.000000,1.000000,True,0.000000,-809.183383,-809.183383,stop_loss,1.000000,0.753947,-8.091834,-809.183383,,,,,,,,,,
68,2016-09-19 16:15:00,0.753253,short,1000000.000000,1.000000,45.981620,False,Standard (NTI+MB+IC),0.754253,10.000000,0.752123,0.750993,0.749487,11.298797,22.597593,37.662655,2016-09-19 21:15:00,0.754420,stop_loss,5.000000,0,1000000.000000,1.000000,True,0.000000,-1166.518069,-1166.518069,stop_loss,1.000000,0.754420,-11.665181,-1166.518069,,,,,,,,,,
69,2016-09-20 03:30:00,0.755929,long,1000000.000000,1.000000,41.618686,False,Standard (NTI+MB+IC),0.754929,10.000000,0.757062,0.758196,0.759708,11.338928,22.677856,37.796427,2016-09-20 05:00:00,0.754833,stop_loss,1.500000,0,1000000.000000,1.000000,True,0.000000,-1095.664804,-1095.664804,stop_loss,1.000000,0.754833,-10.956648,-1095.664804,,,,,,,,,,
70,2016-09-21 03:15:00,0.758014,long,1000000.000000,1.000000,43.721024,False,Standard (NTI+MB+IC),0.757014,10.000000,0.759151,0.760288,0.761804,11.370216,22.740432,37.900720,2016-09-21 08:30:00,0.759151,tp1_pullback,5.250000,2,1000000.000000,1.000000,True,906.307442,1095.820519,1095.820519,PARTIAL,0.500000,0.758690,6.755933,337.796637,TP1,0.166650,0.759151,11.370216,189.484651,TP2,0.166675,0.760288,22.740432,379.026154
71,2016-09-21 08:45:00,0.757751,long,1000000.000000,1.000000,29.571267,False,Standard (NTI+MB+IC),0.756889,8.624500,0.758888,0.760024,0.761540,11.366266,22.732531,37.887552,2016-09-21 10:15:00,0.756839,stop_loss,1.500000,0,1000000.000000,1.000000,True,0.000000,-912.210849,-912.210849,stop_loss,1.000000,0.756839,-9.122108,-912.210849,,,,,,,,,,
72,2016-09-21 10:30:00,0.757079,long,1000000.000000,1.000000,22.477717,False,Standard (NTI+MB+IC),0.757142,0.627739,0.758215,0.759351,0.760865,11.356190,22.712380,37.853967,2016-09-21 14:15:00,0.760865,take_profit_3,3.750000,3,1000000.000000,1.000000,True,1279.071529,1279.071529,1279.071529,PARTIAL,0.500000,0.757240,1.606621,80.331032,TP1,0.166650,0.758215,11.356190,189.250908,TP2,0.166675,0.759351,22.712380,378.558596
73,2016-09-21 15:30:00,0.762644,long,1000000.000000,1.000000,31.519164,False,Standard (NTI+MB+IC),0.761644,10.000000,0.763788,0.764932,0.766457,11.439655,22.879310,38.132183,2016-09-21 20:30:00,0.763788,tp1_pullback,5.000000,2,1000000.000000,1.000000,True,990.153644,1180.824092,1180.824092,PARTIAL,0.500000,0.763480,8.363418,418.170901,TP1,0.166650,0.763788,11.439655,190.641848,TP2,0.166675,0.764932,22.879310,381.340895
74,2016-09-22 03:15:00,0.765840,long,1000000.000000,1.000000,41.827515,False,Standard (NTI+MB+IC),0.764840,10.000000,0.766989,0.768138,0.769670,11.487605,22.975209,38.292016,2016-09-22 03:45:00,0.764776,stop_loss,0.500000,0,1000000.000000,1.000000,True,0.000000,-1064.672811,-1064.672811,stop_loss,1.000000,0.764776,-10.646728,-1064.672811,,,,,,,,,,
75,2016-09-22 04:00:00,0.765945,long,1000000.000000,1.000000,35.552662,False,Standard (NTI+MB+IC),0.764945,10.000000,0.767094,0.768243,0.769775,11.489176,22.978353,38.297255,2016-09-22 05:00:00,0.766021,trailing_stop,1.000000,0,1000000.000000,1.000000,True,0.000000,76.109956,76.109956,trailing_stop,1.000000,0.766021,0.761100,76.109956,,,,,,,,,,
76,2016-09-22 05:15:00,0.766579,long,1000000.000000,1.000000,31.647100,False,Standard (NTI+MB+IC),0.765579,10.000000,0.767729,0.768879,0.770412,11.498686,22.997372,38.328953,2016-09-22 07:00:00,0.765536,stop_loss,1.750000,0,1000000.000000,1.000000,True,0.000000,-1043.506382,-1043.506382,stop_loss,1.000000,0.765536,-10.435064,-1043.506382,,,,,,,,,,
77,2016-09-22 14:30:00,0.762770,short,1000000.000000,1.000000,57.492513,False,Standard (NTI+MB+IC),0.763770,10.000000,0.761626,0.760482,0.758956,11.441554,22.883109,38.138515,2016-09-22 15:15:00,0.763924,stop_loss,0.750000,0,1000000.000000,1.000000,True,0.000000,-1153.263374,-1153.263374,stop_loss,1.000000,0.763924,-11.532634,-1153.263374,,,,,,,,,,
78,2016-09-23 01:00:00,0.762712,short,1000000.000000,1.000000,44.117295,False,Standard (NTI+MB+IC),0.763712,10.000000,0.761568,0.760424,0.758898,11.440680,22.881360,38.135599,2016-09-23 02:00:00,0.763808,stop_loss,1.000000,0,1000000.000000,1.000000,True,0.000000,-1096.254331,-1096.254331,stop_loss,1.000000,0.763808,-10.962543,-1096.254331,,,,,,,,,,
79,2016-09-23 02:45:00,0.764841,short,1000000.000000,1.000000,42.966820,False,Standard (NTI+MB+IC),0.764262,5.791077,0.763694,0.762546,0.761017,11.472613,22.945226,38.242044,2016-09-23 04:00:00,0.761017,take_profit_3,1.250000,3,1000000.000000,1.000000,True,1481.467087,1481.467087,1481.467087,PARTIAL,0.500000,0.764300,5.408743,270.437167,TP1,0.166650,0.763694,11.472613,191.191098,TP2,0.166675,0.762546,22.945226,382.439558
80,2016-09-23 04:15:00,0.761795,short,1000000.000000,1.000000,45.079686,False,Standard (NTI+MB+IC),0.762795,10.000000,0.760652,0.759509,0.757986,11.426921,22.853843,38.089738,2016-09-23 04:45:00,0.761717,trailing_stop,0.500000,0,1000000.000000,1.000000,True,0.000000,78.128249,78.128249,trailing_stop,1.000000,0.761717,0.781282,78.128249,,,,,,,,,,
81,2016-09-23 05:00:00,0.762352,short,1000000.000000,1.000000,46.294924,False,Standard (NTI+MB+IC),0.763352,10.000000,0.761209,0.760065,0.758540,11.435284,22.870567,38.117612,2016-09-23 05:30:00,0.763361,stop_loss,0.500000,0,1000000.000000,1.000000,True,0.000000,-1008.590890,-1008.590890,stop_loss,1.000000,0.763361,-10.085909,-1008.590890,,,,,,,,,,
