trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,final_exit_pips,pnl_per_million
44,2023-08-02 14:00:00,0.654735,short,1.000000,23.639206,False,Standard (NTI+MB+IC),0.655235,5.000000,0.654146,0.653557,0.652771,2023-08-02 14:30:00,0.654146,take_profit_1,1,0.500000,292.379605,PPT,0.700000,115.601116,TP1,0.300000,176.778489,292.379605,5.892616,292.379605
45,2023-08-02 14:45:00,0.654464,short,1.000000,27.275516,False,Standard (NTI+MB+IC),0.654964,5.000000,0.653875,0.653286,0.652501,2023-08-02 15:15:00,0.653875,take_profit_1,1,0.500000,585.676239,PPT,0.700000,408.970893,TP1,0.300000,176.705346,585.676239,5.890178,585.676239
46,2023-08-02 15:30:00,0.654155,short,1.000000,30.474588,False,Standard (NTI+MB+IC),0.654655,5.000000,0.653567,0.652978,0.652193,2023-08-02 17:00:00,0.653567,take_profit_1,1,1.500000,411.447448,PPT,0.700000,234.825472,TP1,0.300000,176.621976,411.447448,5.887399,411.447448
47,2023-08-02 17:15:00,0.653342,short,1.000000,40.448562,False,Standard (NTI+MB+IC),0.653842,5.000000,0.652754,0.652166,0.651382,2023-08-02 18:00:00,0.653937,stop_loss,0,0.750000,-594.961396,,,,,,,,-5.949614,-594.961396
48,2023-08-02 18:15:00,0.654103,short,1.000000,39.347151,False,Standard (NTI+MB+IC),0.654603,5.000000,0.653515,0.652926,0.652141,2023-08-02 20:15:00,0.653515,take_profit_1,1,2.000000,528.954178,PPT,0.700000,352.346273,TP1,0.300000,176.607905,528.954178,5.886930,528.954178
49,2023-08-02 20:45:00,0.653429,short,1.000000,33.089662,False,Standard (NTI+MB+IC),0.653929,5.000000,0.652841,0.652253,0.651469,2023-08-02 21:15:00,0.653975,stop_loss,0,0.500000,-545.469949,,,,,,,,-5.454699,-545.469949
50,2023-08-02 21:45:00,0.654360,short,1.000000,16.326957,False,Standard (NTI+MB+IC),0.654860,5.000000,0.653771,0.653182,0.652397,2023-08-02 22:00:00,0.653771,take_profit_1,1,0.250000,526.876046,PPT,0.700000,350.198770,TP1,0.300000,176.677277,526.876046,5.889243,526.876046
51,2023-08-03 10:15:00,0.653721,short,1.000000,18.577872,False,Standard (NTI+MB+IC),0.653714,0.070403,0.653133,0.652545,0.651760,2023-08-03 10:30:00,0.653804,stop_loss,0,0.250000,-83.023927,,,,,,,,-0.830239,-83.023927
52,2023-08-03 11:00:00,0.654813,long,1.000000,44.733496,False,Standard (NTI+MB+IC),0.654313,5.000000,0.655402,0.655991,0.656777,2023-08-03 11:15:00,0.655402,take_profit_1,1,0.250000,629.888031,PPT,0.700000,453.088594,TP1,0.300000,176.799437,629.888031,5.893315,629.888031
53,2023-08-03 11:30:00,0.655585,long,1.000000,52.253860,False,Standard (NTI+MB+IC),0.655085,5.000000,0.656176,0.656766,0.657552,2023-08-03 12:30:00,0.656176,take_profit_1,1,1.000000,383.169215,PPT,0.700000,206.161134,TP1,0.300000,177.008081,383.169215,5.900269,383.169215
