trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
322,2023-02-22 03:30:00,0.681233,short,1.000000,23.256898,False,Standard (NTI+MB+IC),0.682233,10.000000,0.680211,0.679189,0.677827,2023-02-22 05:30:00,0.682295,stop_loss,0,2.000000,-1061.707647,,,,,,,,-10.617076,-1061.707647,,,
323,2023-02-22 22:15:00,0.683408,long,1.000000,51.171463,False,Standard (NTI+MB+IC),0.682408,10.000000,0.684433,0.685458,0.686825,2023-02-23 00:15:00,0.682322,stop_loss,0,2.000000,-1085.824313,,,,,,,,-10.858243,-1085.824313,,,
324,2023-02-24 03:00:00,0.678104,short,1.000000,41.882295,False,Standard (NTI+MB+IC),0.679104,10.000000,0.677087,0.676070,0.674714,2023-02-24 07:00:00,0.676070,take_profit_2,2,4.000000,1610.353527,PPT,0.500000,932.249029,TP1,0.333333,339.052249,1610.353527,20.343135,1610.353527,TP2,0.166667,339.052249
325,2023-02-24 07:15:00,0.675581,short,1.000000,43.223388,False,Standard (NTI+MB+IC),0.676581,10.000000,0.674568,0.673555,0.672204,2023-02-24 09:00:00,0.673555,take_profit_2,2,1.750000,951.295686,PPT,0.500000,275.714257,TP1,0.333333,337.790714,951.295686,20.267443,951.295686,TP2,0.166667,337.790714
326,2023-02-24 09:15:00,0.672322,short,1.000000,60.143857,False,Standard (NTI+MB+IC),0.673322,10.000000,0.671313,0.670305,0.668960,2023-02-24 11:15:00,0.673508,stop_loss,0,2.000000,-1185.776232,,,,,,,,-11.857762,-1185.776232,,,
327,2023-02-24 11:30:00,0.673297,short,1.000000,54.238002,False,Standard (NTI+MB+IC),0.674297,10.000000,0.672287,0.671277,0.669931,2023-02-26 22:30:00,0.671277,take_profit_2,2,59.000000,991.962180,PPT,0.500000,318.664851,TP1,0.333333,336.648665,991.962180,20.198920,991.962180,TP2,0.166667,336.648665
328,2023-02-26 22:45:00,0.671043,short,1.000000,37.216789,False,Standard (NTI+MB+IC),0.672043,10.000000,0.670036,0.669030,0.667688,2023-02-27 03:30:00,0.672071,stop_loss,1,4.750000,580.601616,PPT,0.500000,416.377296,TP1,0.333333,335.521377,751.898674,-10.277823,580.601616,,,
329,2023-02-27 03:45:00,0.671725,short,1.000000,22.382347,False,Standard (NTI+MB+IC),0.672725,10.000000,0.670718,0.669710,0.668367,2023-02-27 12:15:00,0.672729,stop_loss,1,8.500000,476.302736,PPT,0.500000,307.747427,TP1,0.333333,335.862747,643.610175,-10.038446,476.302736,,,
330,2023-02-27 16:30:00,0.673778,long,1.000000,39.551512,False,Standard (NTI+MB+IC),0.672778,10.000000,0.674789,0.675799,0.677147,2023-02-27 23:30:00,0.672621,stop_loss,1,7.000000,444.956727,PPT,0.500000,300.987619,TP1,0.333333,336.889012,637.876632,-11.575194,444.956727,,,
331,2023-02-28 00:30:00,0.672239,short,1.000000,46.383339,False,Standard (NTI+MB+IC),0.673239,10.000000,0.671231,0.670222,0.668878,2023-02-28 01:30:00,0.673282,stop_loss,0,1.000000,-1043.035678,,,,,,,,-10.430357,-1043.035678,,,
332,2023-02-28 02:15:00,0.671959,short,1.000000,36.728457,False,Standard (NTI+MB+IC),0.672959,10.000000,0.670951,0.669943,0.668599,2023-02-28 05:45:00,0.673109,stop_loss,1,3.500000,538.719934,PPT,0.500000,394.448538,TP1,0.333333,335.979449,730.427986,-11.502483,538.719934,,,
333,2023-02-28 10:45:00,0.674358,long,1.000000,44.223252,False,Standard (NTI+MB+IC),0.673358,10.000000,0.675370,0.676381,0.677730,2023-02-28 16:00:00,0.673260,stop_loss,1,5.250000,555.168310,PPT,0.500000,400.931228,TP1,0.333333,337.179069,738.110297,-10.976519,555.168310,,,
334,2023-02-28 16:15:00,0.672453,long,1.000000,20.174198,False,Standard (NTI+MB+IC),0.672786,3.338305,0.673461,0.674470,0.675815,2023-02-28 16:45:00,0.672642,stop_loss,0,0.500000,278.354274,PPT,0.500000,183.712813,,,,183.712813,1.892829,278.354274,,,
335,2023-02-28 19:00:00,0.672130,short,1.000000,38.180112,False,Standard (NTI+MB+IC),0.673130,10.000000,0.671122,0.670114,0.668770,2023-02-28 19:30:00,0.670114,take_profit_2,2,0.500000,1892.274846,PPT,0.500000,1220.144556,TP1,0.333333,336.065145,1892.274846,20.163909,1892.274846,TP2,0.166667,336.065145
336,2023-02-28 19:45:00,0.669932,short,1.000000,48.383891,False,Standard (NTI+MB+IC),0.670932,10.000000,0.668928,0.667923,0.666583,2023-02-28 20:15:00,0.670999,stop_loss,0,0.500000,-1066.568657,,,,,,,,-10.665687,-1066.568657,,,
337,2023-02-28 22:30:00,0.674577,long,1.000000,38.404668,False,Standard (NTI+MB+IC),0.673577,10.000000,0.675589,0.676601,0.677950,2023-03-01 01:30:00,0.676601,take_profit_2,2,3.000000,1105.851597,PPT,0.500000,431.274146,TP1,0.333333,337.288726,1105.851597,20.237324,1105.851597,TP2,0.166667,337.288726
338,2023-03-01 01:45:00,0.676202,long,1.000000,44.358994,False,Standard (NTI+MB+IC),0.675202,10.000000,0.677217,0.678231,0.679583,2023-03-01 09:15:00,0.675188,stop_loss,1,7.500000,422.813037,PPT,0.500000,253.771045,TP1,0.333333,338.101229,591.872274,-10.143554,422.813037,,,
339,2023-03-01 20:45:00,0.673955,short,1.000000,28.347145,False,Standard (NTI+MB+IC),0.674955,10.000000,0.672944,0.671933,0.670585,2023-03-01 21:15:00,0.675069,stop_loss,0,0.500000,-1114.157561,,,,,,,,-11.141576,-1114.157561,,,
340,2023-03-03 03:30:00,0.676095,long,1.000000,40.408520,False,Standard (NTI+MB+IC),0.675095,10.000000,0.677109,0.678123,0.679475,2023-03-03 07:15:00,0.675041,stop_loss,0,3.750000,-1054.066284,,,,,,,,-10.540663,-1054.066284,,,
341,2023-03-06 06:00:00,0.672613,short,1.000000,47.626609,False,Standard (NTI+MB+IC),0.673613,10.000000,0.671604,0.670595,0.669250,2023-03-06 08:15:00,0.673748,stop_loss,1,2.250000,453.602086,PPT,0.500000,306.420741,TP1,0.333333,336.306421,642.727162,-11.347505,453.602086,,,
342,2023-03-06 23:00:00,0.670849,short,1.000000,44.845698,False,Standard (NTI+MB+IC),0.671849,10.000000,0.669843,0.668837,0.667495,2023-03-07 03:00:00,0.668837,take_profit_2,2,4.000000,985.574957,PPT,0.500000,314.725506,TP1,0.333333,335.424726,985.574957,20.125484,985.574957,TP2,0.166667,335.424726
